Student ID,Name,Sex,High School,Nationality,Q1 - Suite Gender Preference,"Q2 - On a typical weekday, what time do you expect activity in your suite to quieten down?","Q3 - On a typical weekend, what time do you expect activity in your suite to quieten down?",Q4 - Which of the following groups of adjectives best describe how you envision your suite’s environment?,Q5 - Please select which option describes you best when it comes to cleanliness in general.,Q6 - Alcohol Preference,Q7 - Smoking Preference
A6029044E,Ruthann Bosdet,F,Tuanlin School,Australia,Single Gender,10pm to 11pm,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A3013903P,Ginni Ridgeway,M,Rawa Polytechnic,Bangladesh,No Preference,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8335211X,Berton Capenor,M,Touba Polytechnic,Bangladesh,Single Gender,11pm to 12am,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A4974778G,Marleah Kun,F,Zhuping Polytechnic,Brazil,Gender Inclusive,11pm to 12am,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A6693897N,Codie Bilam,M,Chishan High School,Canada,Single Gender,10pm to 11pm,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A9498720P,Park Sheran,M,Lame Polytechnic,Canada,Gender Inclusive,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8446360H,Angelo Beavers,F,Gandu Junior College,Canada,No Preference,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2757560V,Jennine Figgures,M,Kedungbang High School,Canada,No Preference,11pm to 12am,After 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A5712748O,Natalina Boynton,F,Torino Junior College,Canada,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4343574O,Lusa Alcalde,F,Lingdong High School,China,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
